DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,23:00:00 08-Sep-2015,3.000000,5,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 09-Sep-2015,3.000000,5,,,,,24,,20,20,20,60,30,20,10,10,20,20,30,30,10,20,70,30,20,40,100,100,98,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 10-Sep-2015,3.000000,5,,,,,24,,100,100,100,100,100,90,20,20,20,20,20,10,20,10,10,10,80,100,90,100,100,100,70,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 11-Sep-2015,3.000000,10,,,,,24,,100,60,100,100,90,10,10,20,10,10,10,10,10,10,10,10,10,10,20,20,90,100,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 12-Sep-2015,3.000000,10,,,,,24,,98,100,100,100,100,100,40,20,10,20,20,20,10,20,10,20,20,30,80,100,100,20,10,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 13-Sep-2015,3.000000,7,,,,,24,,100,100,100,100,100,70,10,20,20,20,20,20,20,20,20,20,20,40,100,100,70,10,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 14-Sep-2015,3.000000,5,,,,,24,,100,100,100,100,100,100,40,10,10,10,10,10,10,10,10,10,10,70,50,20,10,60,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 15-Sep-2015,3.000000,4,,,,,24,,100,98,100,100,100,100,100,40,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 16-Sep-2015,3.000000,4,,,,,24,,20,20,10,10,10,20,20,20,20,20,80,40,30,20,20,10,60,100,100,100,100,100,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 17-Sep-2015,4.000000,4,,,,,24,,20,10,10,20,20,10,20,20,20,30,30,20,20,20,20,10,20,10,70,100,100,90,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 18-Sep-2015,4.000000,8,,,,,24,,100,90,10,10,20,10,10,20,10,10,10,10,10,20,20,10,20,20,10,90,100,100,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 19-Sep-2015,4.000000,3,,,,,24,,98,40,3,30,20,20,10,10,10,10,10,10,10,20,20,10,20,20,60,100,90,70,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 20-Sep-2015,4.000000,7,,,,,24,,98,98,30,10,10,20,20,10,10,10,10,10,10,10,10,10,20,20,10,10,20,90,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 21-Sep-2015,4.000000,4,,,,,24,,100,100,100,100,100,98,10,20,20,10,20,10,10,10,10,10,20,20,10,20,20,20,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 22-Sep-2015,4.000000,2,,,,,24,,98,50,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,20,10,80,100,100,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 23-Sep-2015,4.000000,3,,,,,24,,98,98,100,80,30,10,10,10,10,20,20,20,20,20,30,20,20,20,20,80,98,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 24-Sep-2015,4.000000,5,,,,,24,,100,100,100,100,98,40,10,10,10,10,10,20,10,10,10,10,10,20,10,70,100,98,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 25-Sep-2015,4.000000,4,,,,,24,,100,100,100,100,100,30,10,10,10,20,20,30,30,30,20,30,30,20,30,30,20,20,30,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 26-Sep-2015,4.000000,4,,,,,24,,100,100,100,100,100,50,10,10,10,10,20,20,20,30,30,40,30,30,30,20,70,90,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 27-Sep-2015,4.000000,5,,,,,24,,100,100,100,100,100,50,20,20,20,10,10,20,20,20,20,20,20,40,100,100,100,98,40,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 28-Sep-2015,4.000000,2,,,,,24,,100,100,100,100,100,60,10,10,10,10,10,10,10,10,10,10,10,30,60,70,98,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 29-Sep-2015,5.000000,3,,,,,24,,98,100,100,100,100,50,10,10,10,10,10,20,20,10,10,10,10,20,10,10,30,30,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 30-Sep-2015,5.000000,5,,,,,24,,90,100,100,100,100,50,10,10,10,10,10,10,10,10,10,10,10,20,20,10,80,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 01-Oct-2015,5.000000,4,,,,,24,,100,70,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,30,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 02-Oct-2015,5.000000,4,,,,,24,,40,20,10,10,20,10,30,10,10,20,10,20,20,20,20,20,20,90,100,98,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 03-Oct-2015,5.000000,3,,,,,24,,90,30,20,10,10,10,20,20,20,20,10,10,20,20,20,20,10,20,80,100,100,100,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 04-Oct-2015,5.000000,2,,,,,24,,100,70,10,20,20,20,20,20,20,20,20,20,40,20,20,40,30,90,100,100,100,100,70,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14A0822,143990,0.500000,Transmission,Mk10,Percent,00:00:00 05-Oct-2015,5.000000,4,,,,,24,,10,10,10,10,10,3,10,10,10,3,10,10,3,10,10,10,10,30,60,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
